Title,Author,Series,Status,ISBN,Rating,Owned,title,publish_date,publishers,pages,subjects,description,rating,author,Genre,Subgenre
Crooked Kingdom,Leigh Bardugo,,Read,9781250076977,3.75,Yes,Crooked Kingdom,2018,['Square Fish'],564,"['Young Adult', 'Fantasy', 'Magic', 'Juvenile fiction', 'Friendship', 'Revenge', 'Brigands and robbers', 'Fiction', 'Juvenile audience', 'fantasy fiction', 'science fiction', 'Young adult fiction', 'Juvenile works', 'young adult works', 'imaginary wars and battles', ""Children's fiction"", 'nyt:young-adult-e-book=2016-10-16', 'New York Times bestseller', 'Gangs', 'Betrayal', 'Drugs', 'Loyalty', 'Imaginary places', 'General', 'Action & Adventure']","Preceeded by [Six of Crows](https://openlibrary.org/works/OL17332479W/Six_of_Crows)

BOOK TWO of the [Six of Crows Duology](https://openlibrary.org/works/OL19758128W/Six_of_Crows_Crooked_Kingdom)

Crooked Kingdom is a fantasy novel by American author Leigh Bardugo, published by Henry Holt and Co. in 2016. Set in a world loosely inspired by 19th-century Europe, it takes place days after the events of the duology's first book, [Six of Crows](https://openlibrary.org/works/OL17332479W/Six_of_Crows). The plot is told from the third-person viewpoints of six characters.",4.379310345,Leigh Bardugo,Fantasy,"Heist, Young Adult"
Six of Crows,Leigh Bardugo,,Read,9781250777904,4.5,Yes,Six of Crows,2021,['Imprint'],496,"['Young adult fiction', 'Fantasy fiction', 'Fiction', 'Young adult works', 'Juvenile works', 'Science fiction', 'Juvenile fiction', 'LGBTQ novels', 'YA fiction', 'mystery', 'heist', 'fantasy', 'Brigands and robbers', 'Thriller', 'Action & Adventure', 'Imaginary places', 'Magic', 'Gangs', ""Children's fiction"", 'Robbers and outlaws, fiction', 'nyt:young-adult-e-book=2015-10-18', 'New York Times bestseller']","BOOK ONE of the [Six of Crows Duology](https://openlibrary.org/works/OL19758128W/Six_of_Crows_Crooked_Kingdom)

Six of Crows is a fantasy novel written by the Israeli-American author Leigh Bardugo published by Henry Holt and Co. in 2015. The story follows a thieving crew and is primarily set in the city of Ketterdam, loosely inspired by Dutch Republicâ€“era Amsterdam. The plot is told from third-person viewpoints of seven different characters.

The novel is followed by [Crooked Kingdom](https://openlibrary.org/works/OL17597665W) (2016) and is part of the Grishaverse. 

Followed by: [Crooked Kingdom][2]


  [2]: https://openlibrary.org/works/OL17597665W/Crooked_Kingdom",4.53164557,Leigh Bardugo,Fantasy,"Heist, Young Adult"
Shadow and Bone,Leigh Bardugo,,Read,9781250027436,3.75,Yes,Shadow and Bone,2013-05,['Square Fish'],416,"['Magic', 'Ability', 'Fantasy fiction', 'Orphans', 'Fantasy', 'Monsters', 'Fiction', ""Children's fiction"", 'Magic, fiction', 'Monsters, fiction', 'Orphans, fiction', 'Juvenile fiction', 'Imaginary wars and battles', 'YOUNG ADULT FICTION', 'Fairy Tales & Folklore', 'Good vs evil', 'nyt:chapter-books=2012-06-24', 'New York Times bestseller']","Orphaned by the Border Wars, Alina Starkov is taken from obscurity and her only friend, Mal, to become the protegÃ© of the mysterious Darkling, who trains her to join the magical elite in the belief that she is the Sun Summoner, who can destroy the monsters of the Fold.",3.9375,Leigh Bardugo,Fantasy,"High Fantasy, Young Adult"
Seige and Storm,Leigh Bardugo,,Read,9781250044433,3.75,Yes,Siege and Storm,17-Jun-14,['Square Fish'],496,"['Monsters -- Fiction', 'Magic -- Fiction', 'Orphans -- Fiction', 'Fantasy', 'First Person (Point of View)', 'Magic', 'Monsters', 'Fantasy fiction', 'Juvenile fiction', 'Orphans', 'Fiction', ""Children's fiction"", 'Magic, fiction', 'Monsters, fiction', 'Orphans, fiction']","Hunted across the True Sea and haunted by the lives she took on the Fold, Alina must try to make a life with Mal in an unfamiliar land, all while keeping her identity as the Sun Summoner a secret.",4.214285714,Leigh Bardugo,Fantasy,"High Fantasy, Young Adult"
Ruin and Rising,Leigh Bardugo,,Read,9781250063168,3.75,Yes,Ruin and Rising,2015,['Square Fish'],480,"['Magic', 'Fantasy fiction', 'Orphans', 'Fantasy', 'Love stories', 'Love', 'Fiction', ""Children's fiction"", 'Love, fiction', 'Orphans, fiction', 'Magic, fiction', 'Monsters, fiction', 'New York Times reviewed', 'Juvenile fiction', 'Monsters', 'Ability']","""The Darkling rules Ravka from his shadow throne. Alina forges new alliances as she and Mal search for Morozova's last amplifier. But as she begins to unravel the Darkling's secrets, she reveals a past that alters her understanding of the bond they share and the power she wields""--Provided by publisher.",4.142857143,Leigh Bardugo,Fantasy,"High Fantasy, Young Adult"
Harry Potter and the Deathly Hallows,J. K. Rowling,,Read,9780545139700,4.25,Yes,Harry Potter and the Deathly Hallows,,['Arthur A. Levine Books an imprint of Scholastic Inc.'],759,"['the Elder Wand', ""children's books"", 'dementors', 'good and evil', 'Juvenile literature', 'Juvenile works', 'Death', 'Fiction', 'Wizards', 'New York Times bestseller', 'nyt:series_books=2006-09-16', 'Schools', 'Magic', 'Magia', 'FicciÃ³n juvenil', 'Novela fantÃ¡stica', 'Magos', 'Escuelas', 'Juvenile fiction', 'dark magic', 'Coming of age', 'heroics', 'fantasy', 'action', 'adventure', 'orphans', 'foster homes', 'young adult', 'children', ""children's literature"", 'boarding school', 'wizardry', 'mystery', 'kids', 'witchcraft', 'war', 'Magie', 'Magiciens', 'Roman pour la jeunesse', 'Mort', 'Sorcellerie', 'Romans, nouvelles, etc. pour la jeunesse', 'Internats', 'Fantasy fiction', 'Roman fantastique', 'Ecoles', 'Boarding schools', 'Sorciers', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place) -- Juvenile fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Potter, Harry (Fictitious character) -- Juvenile fiction', 'Wizards -- Fiction', 'Magic -- Fiction', 'Schools -- Fiction', 'Magos -- FicciÃ³n juvenil', 'Magia -- FicciÃ³n juvenil', 'Escuelas -- FicciÃ³n juvenil', 'England -- Fiction', 'Inglaterra -- FicciÃ³n juvenil', 'Hermione Granger (Fictitious character)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Ron Weasley (Fictitious character)', 'School stories', 'Family', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Fictional Works', 'Bildungsromans', 'Witches', 'Friendship', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'England, fiction', 'Schools, fiction', 'Magic, fiction', ""Children's fiction"", 'English literature', 'Fiction, fantasy, general', 'MÃ©chancetÃ©', 'QuÃªte (LittÃ©rature)', 'Potter, Harry (Personnage fictif)', 'Large type books', 'New York Times reviewed', 'Poudlard (Organisation imaginaire)', 'Ã‰coles', 'Illusion (performing art)', 'Schools (institutions)', 'Schools (buildings)', 'Child and youth fiction', 'death eater', 'ron', 'Severus Snape (Fictitious character)']","Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagridâ€™s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.

The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he canâ€™t keep hiding.

To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.

He will have to face his enemy in one final battle.

([source][1])


----------
See also:

 - [Harry Potter and the Deathly Hallows: 2/2][2]


  [1]: https://www.jkrowling.com/book/harry-potter-deathly-hallows/
  [2]: https://openlibrary.org/works/OL17922343W/Harry_Potter_and_the_Deathly_Hallows_Chapters_20-36",4.271317829,,Fantasy,"Urban Fantasy, Low Fantasy"
Harry Potter and the Half-Blood Prince,J. K. Rowling,,Read,9780439785969,4.25,Yes,Harry Potter and the Half-Blood Prince,2006-09,['Scholastic'],652,"['orphans', 'foster homes', 'romans', 'magie', 'adolescence', 'Quill Award winner', 'Scottish Childrenâ€™s Book Award winner', 'British Book of the Year Award winner', 'Fiction', 'Juvenile fiction', 'Magic', 'Schools', 'Witches', 'Wizards', 'New York Times bestseller', 'Fantasy fiction', 'nyt:series_books=2006-07-15', 'nyt:series_books=2006-09-16', 'Romans, nouvelles, etc. pour la jeunesse', 'Sorciers', 'Roman fantastique', 'Merveilleux', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Magos', 'Magia', 'FicciÃ³n juvenil', 'Escuelas', 'Novela fantÃ¡stica', 'England', 'School stories', 'Family', 'Harry Potter (Fictional character)', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy', 'Fantasy & Magic', 'Friendship', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'England, fiction', 'Magic, fiction', 'Schools, fiction', ""Children's fiction"", 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Large type books', 'Bengali Detective and mystery stories', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Good and evil', 'Fantasiewelt', 'Phantastische Literatur', 'Englisch', 'Magic - Fiction', 'Fiction, fantasy, general', 'Warlocks', 'Potter, Harry (Personnage fictif)', 'Magiciens', 'Ã‰coles', 'Poudlard (Organisation imaginaire)', 'Coming of age', 'Bildungsromans']","One summer night, when Dumbledore arrives at Privet Drive to collect Harry Potter, his wand hand is blackened and shriveled, but he will not reveal why.

Rumours and suspicion spread through the wizarding world â€“ it feels as if even Hogwarts itself might be under threat.

Harry is convinced that Malfoy bears the Dark Mark: could there be a Death Eater amongst them?

He will need powerful magic and true friends as, with the help of Dumbledore, he investigates Voldemortâ€™s darkest secrets.

([source][2])

Preceded by: [Harry Potter and the Order of the Phoenix][1]
Followed by: [Harry Potter and the Deathly Hallows][3]


----------
Contains:
[Harry Potter and the Half-Blood Prince [3/4]](https://openlibrary.org/works/OL27299760W)
[Harry Potter and the Half-Blood Prince [4/4]](https://openlibrary.org/works/OL27294904W)

  [1]: https://openlibrary.org/works/OL13716955W/Harry_Potter_and_the_Order_of_the_Phoenix
  [2]: https://www.jkrowling.com/book/harry-potter-half-blood-prince/
  [3]: https://openlibrary.org/works/OL82586W/Harry_Potter_and_the_Deathly_Hallows",4.366492147,,Fantasy,"Urban Fantasy, Low Fantasy"
Harry Potter and Order of the Pheonix,J. K. Rowling,,Read,9780439358071,3.75,Yes,Harry Potter and the Order of the Phoenix,2004-09,['Scholastic Inc.'],870,"[""Children's Books/Ages 9-12 Fiction"", 'Witches and warlocks', 'Juvenile audience', 'Juvenile works', 'Magic', 'Fantasy fiction', 'Juvenile fiction', 'Fiction', 'Fantasy', 'Friendship', ""Children's stories"", 'Juvenile literature', 'Magia', 'Novela juvenil', 'Traducciones al espaÃ±ol', 'Escuelas', 'Novela inglesa', 'Romans, nouvelles, etc. pour la jeunesse', 'Magiciens', 'Magic in fiction', 'England in fiction', 'Schools in fiction', 'Ã‰coles', 'Schools', 'SorciÃ¨res', 'Wizards in fiction', 'Translations from English', 'Coming of age', 'New York Times bestseller', 'Open Library Staff Picks', 'nyt:series_books=2006-09-16', 'School stories', 'Family', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Boarding schools', 'Magie', '{acute}Ecoles', 'Sorciaeres', 'Roman pour la jeunesse', 'Romans', 'Witches', 'Sorciers', 'Potter, Harry (Personnage fictif)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Potter, Harry (Fictitious character)', 'English Fantasy fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Arabic language materials', 'Magos', 'FicciÃ³n juvenil', 'Novela fantÃ¡stica', 'England', 'Wizards', 'Witchcraft', 'Severus Snape (Fictitious character)', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Lebensrettung', 'Conduct of life', 'Internat', 'Junge', 'Weissagung', 'Existenzkampf', 'Fabeltiere', 'Boarding school students', 'Military aspects', 'Parapsychology', 'Das BÃ¶se', 'Magier', 'Lebensgefahr', 'SchÃ¼ler', 'Freundschaft', 'Rollentausch', 'Jugendgruppe', 'Youth', 'Telepathie', 'Das Gute', 'Dueling', 'Teacher-student relationships', 'AuÃŸenseiter', 'ImaginÃ¤rer Schauplatz', 'Hate', 'Potter, harry (fictitious character), fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Wizards, fiction', ""Children's fiction"", 'Magic, fiction', 'Schools, fiction', 'England, fiction', 'English literature', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Schools - Fiction', 'Coming of age - Fiction', 'Magic - Fiction', 'Fiction, fantasy, general', 'Adventure and adventurers, fiction', 'Friendship, fiction', 'Poudlard (Organisation imaginaire)', 'Spanish language', 'Reading materials', 'Romans, nouvelles', 'Hogwarts Schools of Witchcraft and Wizardry (Imaginary Place)', 'Eventyrlige fortÃ¦llinger', 'TroldmÃ¦nd', 'Magi']","After the Dementorsâ€™ attack on his cousin Dudley, Harry knows he is about to become Voldemortâ€™s next target.

Although many are denying the Dark Lordâ€™s return, Harry is not alone, and a secret order is gathering at Grimmauld Place to fight against the Dark forces.

Meanwhile, Voldemortâ€™s savage assaults on Harryâ€™s mind are growing stronger every day.

He must allow Professor Snape to teach him to protect himself before he runs out of time.
([source][1])


----------
This work has also been published in multiple volumes. See:

 - [Harry Potter and the Order of the Phoenix: III](https://openlibrary.org/works/OL17937113W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_17-23)
 - [Harry Potter and the Order of the Phoenix: IV](https://openlibrary.org/works/OL17915213W/Harry_Potter_and_the_Order_of_the_Phoenix_Chapters_24-30)

  [1]: https://www.jkrowling.com/book/harry-potter-order-phoenix/",4.270758123,,Fantasy,"Urban Fantasy, Low Fantasy"
Harry Potter and the Goblet of Fire,J. K. Rowling,,Read,9780439139601,4,Yes,Harry Potter and the Goblet of Fire,2002-09,['Scholastic'],752,"['orphans', 'foster homes', 'Waisenkind', 'Intrige', 'Wiederbelebung', 'BewÃ¤hrung', 'Wettkampf', 'Junge', 'Sport', 'Rettung', 'Jugendbuch', 'Mord', 'magier', 'fictitious schools', 'juvenile works', 'juvenile audience', 'juvenile literature', ""children's stories"", 'Fiction', 'Hugo Award Winner', 'Wizards', 'New York Times bestseller', 'nyt:series_books=2006-09-16', 'Schools', 'award:hugo_award=novel', 'School', 'Magic', 'Open Library Staff Picks', 'Sorcellerie', 'Ã‰coles', 'award:hugo_award=2001', 'Sorciers', 'Romans nouvelles etc. pour la jeunesse', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Hermione Granger (Fictitious character)', 'Juvenile fiction', 'Ron Weasley (Fictitious character)', 'Harry Potter (Fictitious character)', 'Magia', 'Magos', 'FicciÃ³n juvenil', 'Escuelas', 'FicciÃ³n', 'Translations from English', 'Magi', 'Chinese fiction', 'Family', 'Fantasy fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Friendship', 'Hugo Award', 'School stories', 'Harry Potter (Fictional character)', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Large type books', 'Potter, harry (fictitious character), fiction', ""Children's fiction"", 'England, fiction', 'Schools, fiction', 'Wizards, fiction', 'Magic, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'English literature', 'Potter, harry (fictitious character)', 'Fantasy', 'Juvenile films', 'Drama', 'PelÃ­culas cinematogrÃ¡ficas juveniles', 'Film adaptations', 'Hechiceros', 'Potter, Harry (Personaje literario)', 'Novela juvenil', 'Inglaterra', 'Novelas inglesas', ""Children's stories, English"", 'Adventure and adventurers, fiction', 'Action & Adventure', 'Friendship, fiction', 'Poudlard (Organisation imaginaire)', 'Romans, nouvelles, etc. pour la jeunesse', 'French language', 'Reading materials', 'Korean language materials', 'English Fantasy literature', 'Translations into Marathi', 'Bengali detective and mystery stories']","The fourth book in the Harry Potter franchise sees Harry returning for his fourth year at Hogwarts School of Witchcraft and Wizardry, along with his friends, Ron and Hermione . There is an upcoming tournament between the three major schools of magic, with one participant selected from each school by the Goblet of Fire. When Harry's name is drawn, even though he is not eligible and is a fourth player, he must compete in the dangerous contest.


----------
Contains:

 - [Harry Potter and the Goblet of Fire. 2/4](https://openlibrary.org/works/OL17910198W/Harry_Potter_and_the_Goblet_of_Fire._2_4)",4.302250804,,Fantasy,"Urban Fantasy, Low Fantasy"
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,,Read,9780439136365,4.25,Yes,Harry Potter and the prisoner of Azkaban,1999,['Arthur A. Levine Books'],435,"['Fantasy fiction', 'orphans', 'foster homes', 'fantasy', 'literature', 'juvenile fantasy fiction', 'Locus Award winner', 'Bram Stoker Award winner', 'Whitbread Book Award winner', 'Adventure', 'Juvenile literature', 'Juvenile works', 'Juvenile audience', ""Children's books"", 'Magic', 'Open Library Staff Picks', 'Juvenile fiction', 'Wizards', 'New York Times bestseller', 'Schools', 'nyt:series_books=2006-09-16', 'Science Fiction, Fantasy, & Magic', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Witches', 'Harry Potter (Fictitious character)', 'FicciÃ³n juvenil', 'Magos', 'Magia', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', ""Children's Books/Ages 9-12 Fiction"", 'Spanish: Grades 4-7', 'General', 'Potter, Harry (Fictitious character)', 'Potter, Harry (Caracter ficticio)', 'Hogwarts School of Witchcraft and Wizardry (Lugar imaginario)', 'Escuelas', 'Spanish language', 'Literatura juvenil', 'Harry Potter (Fictional character)', 'Orphans & Foster Homes', 'Fantasy & Magic', 'French language materials', 'School stories', 'Family', 'Fiction', 'Social Themes', 'Friendship', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Translations from English', 'Chinese language materials', 'England', 'Chinese fiction', 'Tong hua', 'England, fiction', 'Potter, harry (fictitious character), fiction', 'Schools, fiction', ""Children's fiction"", 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Magic, fiction', 'Fiction, fantasy, general', 'Magie', 'Magiciens', 'Schulferien', 'Deutschland', 'Verrat', 'Freundschaft', 'Romans, nouvelles, etc. pour la jeunesse', 'Junge', 'Good and evil', 'Jugendgruppe', 'Fabeltiere', 'LÃ¼ge', 'Rache', 'Boarding schools', 'Deutschland Grenzschutzkommando Mitte Schule', 'Potter, Harry (Personnage fictif)', 'English literature', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Large type books', 'Juvenile films', 'PelÃ­culas cinematogrÃ¡ficas juveniles', 'Hechiceros', 'Potter, Harry (Personaje literario)', 'Children stories', 'Novela juvenil', 'Reading materials', 'Adventure and adventurers, fiction', 'Friendship, fiction', 'Witches, fiction', 'English Fantasy literature', 'Translations into Marathi']","For Harry Potter, itâ€™s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped â€“ and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harryâ€™s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss â€“ in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/",4.274782609,J. K. Rowling,Fantasy,"Urban Fantasy, Low Fantasy"
